form	lemma	POS	morph
༄༅། །		PUNCT
ཕུང་	ཕུང་	VERB
ཁམས་	ཁམས་	NOUN
སྐྱེ་མཆེད་	སྐྱེ་མཆེད་	NOUN
ཀྱི་	གི་	PART
རྣམ་གཞག་	རྣམ་གཞག་	NOUN
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
ཤེས་བྱ་	ཤེས་བྱ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
འབྱེད་	འབྱེད་	VERB
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཕུང་པོ་	ཕུང་པོ་	NOUN
དང་	དང་	NO_POS
ཁམས་	ཁམས་	NOUN
དང་	དང་	NO_POS
སྐྱེ་མཆེད་	སྐྱེ་མཆེད་	NOUN
ཀྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
གཞག་པ་	གཞག་པ་	VERB
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
ཤེས་བྱ་	ཤེས་བྱ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
འབྱེད་	འབྱེད་	VERB
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
ལྷག་པ་	ལྷག་པ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
མཆོག་	མཆོག་	ADJ
མགོན་པོ་	མགོན་པོ་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
གང་	གང་	NO_POS
སྐུ་	སྐུ་	NOUN
བཙོ་མ་	བཙོ་མ་	ADJ
འི་	གི་	PART
གསེར་	གསེར་	NOUN
ལྟ་	ལྟ་	OTHER
རང་བཞིན་	རང་བཞིན་	NOUN
མཛེས་པ་	མཛེས་པ་	VERB
གླེགས་བམ་	གླེགས་བམ་	NOUN
རལ་གྲི་	རལ་གྲི་	NOUN
ས་	གིས་	PART
བརྒྱན་	བརྒྱན་	VERB
། །		PUNCT
གང་	གང་	NO_POS
གསུང་	གསུང་	VERB
ཚངས་པ་	ཚངས་པ་	PROPN
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ལྟ་	ལྟ་	OTHER
རང་བཞིན་	རང་བཞིན་	NOUN
མཉེན་པ་	མཉེན་པ་	NO_POS
ཡན་ལག་	ཡན་ལག་	NOUN
དྲུག་ཅུ་	དྲུག་ཅུ་	NUM
ས་	གིས་	PART
སྤྲ་	སྤྲ་	NO_POS
ས་	གིས་	PART
། །		PUNCT
གང་	གང་	NO_POS
ཐུགས་	ཐུགས་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
འོད་	འོད་	NOUN
ལྟ་	ལྟ་	OTHER
རང་བཞིན་	རང་བཞིན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
འོད་	འོད་	NOUN
ཀྱིས་	གིས་	PART
མཛེ་	མཛེ་	VERB
། །		PUNCT
གང་	གང་	NO_POS
གི་	གི་	PART
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་	ནོར་	NOUN
ལྟ་	ལྟ་	OTHER
རང་བཞིན་	རང་བཞིན་	NOUN
རྟོག་	རྟོག་	VERB
མེད་	མེད་	VERB
བློ་གྲོས་	བློ་གྲོས་	NOUN
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
རྒྱལ་	རྒྱལ་	VERB
། །		PUNCT
ཛམྦུའི་		NON_WORD
གླིང་	གླིང་	NOUN
དུ་	ལ་	PART
དམ་ཆོས་	དམ་ཆོས་	NOUN
མ་མོ་	མ་མོ་	NOUN
གང་	གང་	NO_POS
གིས་	གིས་	PART
རྣམ་	རྣམ་	NOUN
ཕྱེ་	ཕྱེ་	VERB
ཐོགས་མེད་	ཐོགས་མེད་	PROPN
དང་	དང་	NO_POS
། །		PUNCT
གསུང་རབ་	གསུང་རབ་	NOUN
འཛིན་མ་	འཛིན་མ་	NOUN
ར་	ལ་	PART
ཐ་སྙད་	ཐ་སྙད་	NOUN
སྣང་བ་	སྣང་བ་	VERB
གང་	གང་	NO_POS
གིས་	གིས་	PART
བཀྱེ་	བཀྱེ་	NO_POS
མཛད་	མཛད་	VERB
དབྱིག་	དབྱིག་	NOUN
གི་	གི་	PART
གཉེན་	གཉེན་	NOUN
། །		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ར་	ལ་	PART
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ཆར་པ་	ཆར་པ་	OTHER
གང་	གང་	NO_POS
གིས་	གིས་	PART
འབེབས་	འབེབས་	VERB
མཛད་	མཛད་	VERB
ཡོངས་འཛིན་	ཡོངས་འཛིན་	OTHER
མཚོ་	མཚོ་	NOUN
། །		PUNCT
སྔོན་ཆད་	སྔོན་ཆད་	ADV
འདའ་	འདའ་	VERB
དང་	དང་	NO_POS
ད་ལྟ་	ད་ལྟ་	OTHER
གང་	གང་	NO_POS
